ek,c,s
1,1,1
2,2,
3,,
4,,
5,,2
6,4,
7,3,3
8,5,4
9,,
10,7,5
11,8,6
12,9,7
13,6,8
14,,
15,10,9
16,11,10
17,12,11
18,14,12
19,13,
20,18,13
21,16,14
22,19,15
23,20,16
24,21,17
25,23,
26,22,18
27,,
28,24,19
29,27,20
30,25,21
31,29,
32,30,22
33,31,
34,31,23
35,,
36,32,24
37,33,
38,26,
39,34,25
40,35,26
41,36,27
42,41,
43,37,28
44,,
45,38,
46,,
47,44,
48,45,29
49,42,
50,48,30
51,46,
52,49,31
53,50,
54,51,
55,52,
56,55,33
57,,34
58,53,
59,54,
60,,
61,57,35
62,56,36
63,58,
64,59,
65,60,37
66,66,38
67,70,39
68,64,
69,62,
70,s307,40
71,63,
72,69,
73,65,41
74,,
75,,
76,,
77,,42
78,61,43
79,68,44
80,,
81,72,47
82,75,48
83,,
84,74,49
85,,
86,77,50
87,79,
88,76,
89,78,
90,73,
91,88,
92,,
93,87,
94,84,
95,82,
96,,
97,,
98,81,
99,83,
100,,
101,85,51
102,,
103,,
104,93,
105,91,52
106,40,
107,,
108,96,53
109,,
110,92,
111,,
112,95,54
113,98,
114,,
115,,
116,94,55
117,102,56
118,101,57
119,105,
120,100,
121,106,
122,104,
123,99,58
124,109,59
125,,60
126,108,
127,110,66
128,117,67
129,114,
130,112,
131,116,
132,115,68
133,120,69
134,119,
135,,
136,122,
137,,70
138,113,
139,s20,71
140,121,
141,118,
142,,72
143,,
144,123,
145,,
146,,73
147,125,
148,124,74
149,,
150,,
151,s22,75
152,130,76
153,126,
154,134,77
155,,
156,129,
157,,
158,131,
159,,
160,80,
161,,
162,,78
163,135,79
164,,
165,,
166,,
167,,
168,,
169,138,
170,140,80
171,141,81
172,142,82
173,,
174,,
175,143,83
176,145,
177,139,
178,144,
179,147,
180,148,84
181,s23,85
182,149,
183,146,
184,,
185,s24,
186,,
187,152,
188,164,86
189,163,87
190,157,88
191,162,
192,,
193,161,
194,160,
195,165,89
196,155,
197,150,90
198,159,
199,151,
200,156,
201,153,
202,158,91
203,154,93
204,166,
205,172,
206,167,94
207,168,
208,169,95
209,171,
210,127,
211,,
212,170,
213,184,
214,173,
215,,
216,,
217,,
218,,
219,,
220,179,96
221,178,97
222,185,98
223,176,99
224,175,100
225,180,
226,187,101
227,181,102
228,186,
229,,
230,,
231,,
232,,
233,177,103
234,,
235,190,
236,,
237,,
238,,
239,,
240,193,
241,a1,110
242,196,112
243,194,113
244,200,114
245,197,
246,,
247,,
248,202,115
249,,
250,201,116
251,203,117
252,,
253,,
254,211,
255,210,119
256,214,
257,213,
258,s619,
259,,
260,s138,
261,,
262,208,
263,207,
264,209,
265,216,120
266,215,121
267,217,127
268,218,129
269,,
270,,
271,220,130
272,221,131
273,223,132
274,225,
275,,
276,222,
277,224,133
278,226,134
279,227,135
280,228,
281,,
282,,
283,219,
284,232,137
285,s28,
286,231,138
287,,
288,,139
289,,
290,s19,
291,230,
292,,
293,,
294,,
295,237,
296,234,141
297,236,
298,238,142
299,240,143
300,s248,144
301,,
302,s18,146
303,,147
304,,
305,,148
306,,149
307,97,
308,265,151
309,241,152
310,246,153
311,251,
312,248,
313,247,154
314,,
315,,
316,249,
317,,
318,,
319,250,
320,,
321,,
322,254,155
323,s832,
324,252,156
325,257,157
326,,
327,,
328,,159
329,,
330,,
331,,
332,,
333,259,160
334,,
335,,
336,,
337,,
338,,
339,260,
340,,161
341,268,
342,267,
343,262,
344,,
345,,
346,266,
347,263,
348,256,165
349,269,
350,270,167
351,271,
352,272,
353,,
354,277,
355,,
356,,
357,279,
358,274,
359,278,
360,,
361,,
362,306,
363,,
364,280,
365,,
366,,
367,289,
368,281,
369,,
370,288,
371,286,
372,,
373,284,168
374,407,
375,,
376,,
377,282,
378,285,
379,,
380,299,
381,,
382,296,170
383,,
384,,
385,,
386,,
387,287,
388,294,
389,290,171
390,291,172
391,,
392,507,
393,295,
394,,
395,298,173
396,s433,174
397,297,
398,301,175
399,300,176
400,,
401,,
402,,
403,304,177
404,,
405,308,178
406,,
407,,
408,307,
409,,
410,,
411,,
412,309,179
413,311,
414,312,
415,314,
416,,
417,,
418,317,
419,320,
420,,
